Timestamp,0x40,0x41,0x44,0x45,0x48,0x4c
13:40:55.327,150.0046,-4.0001,562.0172,648.0198,564.0172,402.0123
13:40:55.341,152.0046,0.0000,560.0171,676.0206,566.0173,378.0115
13:40:55.355,154.0047,-6.0002,564.0172,674.0206,566.0173,380.0116
13:40:55.368,152.0046,2.0001,558.0170,678.0207,564.0172,398.0121
13:40:55.381,152.0046,4.0001,566.0173,674.0206,564.0172,378.0115
13:40:55.394,152.0046,-4.0001,562.0172,680.0208,566.0173,378.0115
13:40:55.408,154.0047,2.0001,564.0172,666.0203,562.0172,390.0119
13:40:55.421,154.0047,-6.0002,566.0173,676.0206,568.0173,372.0114
13:40:55.434,154.0047,-2.0001,566.0173,680.0208,564.0172,378.0115
13:40:55.447,152.0046,0.0000,558.0170,676.0206,562.0172,388.0118
13:40:55.460,170.0052,-2.0001,558.0170,680.0208,562.0172,374.0114
13:40:55.474,154.0047,-4.0001,562.0172,678.0207,570.0174,374.0114
13:40:55.487,154.0047,2.0001,556.0170,666.0203,568.0173,384.0117
13:40:55.500,150.0046,2.0001,560.0171,662.0202,566.0173,374.0114
13:40:55.513,154.0047,-2.0001,564.0172,672.0205,568.0173,442.0135
13:40:55.526,172.0052,0.0000,574.0175,758.0231,564.0172,426.0130
13:40:55.540,174.0053,2.0001,578.0176,830.0253,566.0173,432.0132
13:40:55.553,174.0053,-2.0001,576.0176,752.0229,566.0173,412.0126
13:40:55.566,170.0052,2.0001,574.0175,742.0226,566.0173,420.0128
13:40:55.579,168.0051,0.0000,572.0175,694.0212,560.0171,376.0115
13:40:55.592,152.0046,-2.0001,562.0172,724.0221,562.0172,376.0115
13:40:55.606,154.0047,-4.0001,556.0170,674.0206,562.0172,372.0114
13:40:55.619,174.0053,-2.0001,580.0177,766.0234,564.0172,434.0132
13:40:55.632,174.0053,-2.0001,582.0178,726.0222,564.0172,422.0129
13:40:55.645,164.0050,-4.0001,564.0172,648.0198,564.0172,418.0128
13:40:55.659,152.0046,-2.0001,562.0172,678.0207,564.0172,378.0115
13:40:55.673,152.0046,-4.0001,566.0173,748.0228,568.0173,368.0112
13:40:55.686,152.0046,2.0001,578.0176,726.0222,568.0173,412.0126
13:40:55.700,172.0052,2.0001,574.0175,746.0228,564.0172,430.0131
13:40:55.713,168.0051,4.0001,568.0173,716.0219,566.0173,422.0129
13:40:55.727,172.0052,2.0001,578.0176,762.0233,568.0173,428.0131
13:40:55.740,166.0051,-4.0001,580.0177,754.0230,570.0174,422.0129
13:40:55.753,168.0051,2.0001,576.0176,750.0229,562.0172,426.0130
13:40:55.766,168.0051,0.0000,576.0176,782.0239,564.0172,430.0131
13:40:55.779,172.0052,-2.0001,568.0173,732.0223,564.0172,424.0129
13:40:55.792,174.0053,-2.0001,576.0176,730.0223,560.0171,416.0127
13:40:55.806,168.0051,2.0001,570.0174,680.0208,568.0173,368.0112
13:40:55.819,160.0049,4.0001,560.0171,672.0205,564.0172,378.0115
13:40:55.832,152.0046,-4.0001,558.0170,650.0198,562.0172,428.0131
13:40:55.845,152.0046,2.0001,578.0176,676.0206,568.0173,370.0113
13:40:55.858,152.0046,2.0001,572.0175,738.0225,566.0173,418.0128
13:40:55.871,172.0052,-4.0001,578.0176,728.0222,566.0173,426.0130
13:40:55.885,166.0051,-6.0002,578.0176,734.0224,566.0173,428.0131
13:40:55.898,174.0053,0.0000,574.0175,728.0222,564.0172,418.0128
13:40:55.911,172.0052,0.0000,570.0174,670.0204,564.0172,420.0128
13:40:55.924,168.0051,-6.0002,570.0174,746.0228,564.0172,430.0131
13:40:55.937,166.0051,4.0001,572.0175,748.0228,564.0172,434.0132
13:40:55.951,168.0051,-6.0002,576.0176,758.0231,568.0173,412.0126
13:40:55.964,154.0047,-4.0001,566.0173,744.0227,564.0172,422.0129
13:40:55.977,168.0051,4.0001,578.0176,726.0222,566.0173,436.0133
13:40:55.990,170.0052,-2.0001,572.0175,750.0229,562.0172,422.0129
13:40:56.004,164.0050,-4.0001,578.0176,742.0226,564.0172,424.0129
13:40:56.017,168.0051,-2.0001,578.0176,750.0229,564.0172,410.0125
13:40:56.031,162.0049,-4.0001,566.0173,742.0226,560.0171,430.0131
13:40:56.044,174.0053,2.0001,580.0177,756.0231,564.0172,438.0134
13:40:56.057,166.0051,4.0001,580.0177,772.0236,568.0173,420.0128
13:40:56.070,172.0052,-6.0002,576.0176,800.0244,564.0172,422.0129
13:40:56.083,168.0051,-2.0001,568.0173,756.0231,564.0172,408.0125
13:40:56.096,164.0050,-2.0001,568.0173,724.0221,560.0171,408.0125
13:40:56.110,168.0051,-4.0001,572.0175,694.0212,562.0172,422.0129
13:40:56.123,170.0052,-4.0001,568.0173,832.0254,564.0172,422.0129
13:40:56.136,166.0051,-4.0001,578.0176,814.0248,564.0172,414.0126
13:40:56.149,172.0052,4.0001,580.0177,688.0210,566.0173,370.0113
13:40:56.162,152.0046,-2.0001,560.0171,688.0210,566.0173,378.0115
13:40:56.175,154.0047,-6.0002,558.0170,674.0206,564.0172,372.0114
13:40:56.189,162.0049,2.0001,560.0171,668.0204,564.0172,376.0115
13:40:56.205,152.0046,2.0001,562.0172,676.0206,566.0173,370.0113
13:40:56.218,154.0047,,,,,
