Timestamp,0x40,0x41,0x44,0x45,0x48,0x4c
13:40:55.327,770.0235,0.0000,1860.0568,687.5210,1020.0311,565.0172
13:40:55.341,790.0241,5.0002,1852.5565,662.5202,1007.5307,627.5192
13:40:55.355,750.0229,0.0000,1847.5564,685.0209,1015.0310,565.0172
13:40:55.368,777.5237,5.0002,1842.5562,680.0208,1020.0311,560.0171
13:40:55.381,762.5233,5.0002,1872.5571,680.0208,1012.5309,560.0171
13:40:55.394,750.0229,5.0002,1872.5571,705.0215,1002.5306,570.0174
13:40:55.408,770.0235,5.0002,1860.0568,675.0206,1015.0310,565.0172
13:40:55.421,762.5233,7.5002,1872.5571,685.0209,1015.0310,560.0171
13:40:55.434,750.0229,7.5002,1860.0568,700.0214,1015.0310,565.0172
13:40:55.447,770.0235,5.0002,1852.5565,672.5205,1020.0311,560.0171
13:40:55.460,790.0241,5.0002,1847.5564,680.0208,1012.5309,552.5169
13:40:55.474,770.0235,7.5002,1855.0566,750.0229,1015.0310,560.0171
13:40:55.487,750.0229,0.0000,1847.5564,685.0209,1015.0310,570.0174
13:40:55.500,777.5237,5.0002,1867.5570,692.5211,1012.5309,552.5169
13:40:55.513,762.5233,7.5002,1855.0566,675.0206,1007.5307,622.5190
13:40:55.526,860.0262,0.0000,1920.0586,765.0233,1012.5309,640.0195
13:40:55.540,832.5254,5.0002,1897.5579,732.5224,1012.5309,630.0192
13:40:55.553,860.0262,5.0002,1897.5579,777.5237,1020.0311,627.5192
13:40:55.566,852.5260,0.0000,1917.5585,777.5237,1012.5309,642.5196
13:40:55.579,832.5254,5.0002,1872.5571,750.0229,1012.5309,557.5170
13:40:55.592,770.0235,0.0000,1852.5565,675.0206,1012.5309,550.0168
13:40:55.606,770.0235,7.5002,1872.5571,685.0209,1012.5309,550.0168
13:40:55.619,762.5233,5.0002,1905.0581,750.0229,1012.5309,622.5190
13:40:55.632,852.5260,5.0002,1887.5576,775.0237,1012.5309,652.5199
13:40:55.645,840.0256,7.5002,1897.5579,662.5202,1012.5309,560.0171
13:40:55.659,810.0247,5.0002,1872.5571,680.0208,1012.5309,595.0182
13:40:55.673,770.0235,0.0000,1872.5571,680.0208,1007.5307,552.5169
13:40:55.686,762.5233,5.0002,1862.5568,725.0221,1007.5307,617.5188
13:40:55.700,852.5260,7.5002,1910.0583,795.0243,1015.0310,635.0194
13:40:55.713,872.5266,5.0002,1910.0583,787.5240,1015.0310,647.5198
13:40:55.727,872.5266,7.5002,1887.5576,742.5227,1000.0305,610.0186
13:40:55.740,832.5254,0.0000,1930.0589,770.0235,1007.5307,652.5199
13:40:55.753,860.0262,5.0002,1917.5585,795.0243,1002.5306,652.5199
13:40:55.766,832.5254,5.0002,1912.5584,742.5227,1015.0310,627.5192
13:40:55.779,852.5260,5.0002,1900.0580,752.5230,1015.0310,642.5196
13:40:55.792,840.0256,7.5002,1917.5585,752.5230,1012.5309,615.0188
13:40:55.806,832.5254,5.0002,1887.5576,752.5230,1015.0310,552.5169
13:40:55.819,762.5233,5.0002,1855.0566,672.5205,1015.0310,560.0171
13:40:55.832,782.5239,5.0002,1852.5565,675.0206,1007.5307,640.0195
13:40:55.845,860.0262,7.5002,1860.0568,680.0208,1015.0310,560.0171
13:40:55.858,762.5233,5.0002,1910.0583,717.5219,1007.5307,617.5188
13:40:55.871,832.5254,0.0000,1910.0583,845.0258,1012.5309,630.0192
13:40:55.885,832.5254,5.0002,1920.0586,750.0229,1012.5309,627.5192
13:40:55.898,832.5254,0.0000,1905.0581,725.0221,1012.5309,647.5198
13:40:55.911,852.5260,0.0000,1897.5579,807.5246,1015.0310,660.0201
13:40:55.924,852.5260,5.0002,1852.5565,737.5225,1000.0305,615.0188
13:40:55.937,867.5265,7.5002,1897.5579,742.5227,1007.5307,622.5190
13:40:55.951,852.5260,0.0000,1910.0583,737.5225,1012.5309,640.0195
13:40:55.964,770.0235,7.5002,1875.0572,685.0209,1007.5307,640.0195
13:40:55.977,867.5265,7.5002,1910.0583,737.5225,1012.5309,640.0195
13:40:55.990,852.5260,7.5002,1917.5585,750.0229,1012.5309,647.5198
13:40:56.004,840.0256,5.0002,1887.5576,737.5225,1012.5309,647.5198
13:40:56.017,852.5260,5.0002,1897.5579,732.5224,1015.0310,610.0186
13:40:56.031,860.0262,7.5002,1880.0574,762.5233,1015.0310,615.0188
13:40:56.044,840.0256,5.0002,1905.0581,745.0227,1015.0310,647.5198
13:40:56.057,832.5254,7.5002,1887.5576,765.0233,1015.0310,642.5196
13:40:56.070,832.5254,5.0002,1925.0587,775.0237,1012.5309,640.0195
13:40:56.083,832.5254,5.0002,1887.5576,745.0227,1012.5309,622.5190
13:40:56.096,832.5254,5.0002,1897.5579,802.5245,1012.5309,640.0195
13:40:56.110,832.5254,5.0002,1910.0583,797.5243,1012.5309,640.0195
13:40:56.123,840.0256,7.5002,1910.0583,712.5217,1012.5309,640.0195
13:40:56.136,852.5260,5.0002,1897.5579,765.0233,1020.0311,610.0186
13:40:56.149,852.5260,7.5002,1900.0580,687.5210,1012.5309,630.0192
13:40:56.162,762.5233,5.0002,1855.0566,680.0208,1020.0311,565.0172
13:40:56.175,762.5233,5.0002,1872.5571,685.0209,1007.5307,552.5169
13:40:56.189,782.5239,12.5004,1852.5565,685.0209,1020.0311,565.0172
13:40:56.205,770.0235,5.0002,1855.0566,660.0201,1012.5309,557.5170
13:40:56.218,770.0235,,,,,
